Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Group,Population,X,Y,Latitude,Longitude,Elevation (m),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,Preview link
1,Kupold,Munsbach,Munsbach Earldom,Malscken,Grand Duchy of Malscken,Shwazen,Shwazen Religion,capital,2325,353.9,486.67,21.83,-11.87,25,18°C,Barcelona (Spain),capital,port,citadel,walls,,,,{t1:or;charges:[{charge:wolfRampant;t:gules;p:e;t2:sable;t3:gules;size:1.5}];shield:swiss},https://watabou.github.io/city-generator/?name=Kupold&population=2325&size=18&seed=2563131000001&river=1&coast=1&farms=0&citadel=1&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural&sea=0.94
2,Chan,Corvilter,Corvilter Parish,Puines,Puinian Theocracy,Luari,Luari Doctrine,capital,868,207.95,372.85,27.27,-18.85,1369,5°C,Harbin (China),capital,,citadel,walls,,,,{t1:gules;division:{division:perPile;t:argent;line:straight};charges:[{charge:billet;t:or;p:be;divided:counter;size:0.5}];shield:french},https://watabou.github.io/city-generator/?name=Chan&population=868&size=12&seed=2563131000002&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
3,Treaberl,Aberporth,Aberporth Parish,Aberleith,Thearchy of Aberleith,Keltan,Treaberlese Pantheon,capital,653,780.44,511.28,20.66,8.54,256,16°C,Dubrovnik (Croatia),capital,,citadel,walls,plaza,,,{t1:azure;charges:[{charge:camel;t:or;p:e;t2:or;size:1.5}];shield:oval},https://watabou.github.io/city-generator/?name=Treaberl&population=653&size=11&seed=2563131000003&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=1&shantytown=0&style=natural
4,Abercta,Abercta,Abercta County,Abergia,Kingdom of Abergia,Keltan,Tamanian Heresy,capital,2090,899.33,557.82,18.43,14.22,576,16°C,Dubrovnik (Croatia),capital,port,citadel,walls,,,,{t1:purpure;division:{division:perCross;t:or;line:dentilly};charges:[{charge:goutte;t:argent;p:j;size:0.6};{charge:ramsHorn;t:gules;p:l;size:0.6};{charge:dragonPassant;t:gules;p:m;size:0.6};{charge:ouroboros;t:argent;p:o;size:0.6}];shield:oval},https://watabou.github.io/city-generator/?name=Abercta&population=2090&size=17&seed=2563131000004&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=1&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
5,Hitch,Draxtedia,Draxtedia County,Sagelia,Grand Duchy of Sagelia,Angshire,Bramburghism,capital,1468,1007.04,296.98,30.9,19.38,625,8°C,Prague (Czechia),capital,,citadel,walls,plaza,,shanty town,{t1:argent;charges:[{charge:fleurDeLis;t:gules;p:kn;size:0.7}];shield:wedged},https://watabou.github.io/city-generator/?name=Hitch&population=1468&size=15&seed=2563131000005&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=1&shantytown=1&style=natural
6,Serte,Serte,Serte County,Aciasecia,Principality of Aciasecia,Tallian,Faith of Fateaux,capital,18121,260.86,491.5,21.6,-16.32,169,17°C,Lisbon (Portugal),capital,port,citadel,walls,plaza,,,{t1:purpure;charges:[{charge:caravel;t:or;p:e;t2:or;t3:or;size:1.5}];shield:horsehead},https://watabou.github.io/city-generator/?name=Serte&population=18121&size=39&seed=2563131000006&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=0&plaza=1&greens=1&temple=0&walls=1&shantytown=0&style=natural&sea=1.18
7,Altbuse,Altbuse,Altbuse Parish,Orporpor,Orporpor Theocracy,Angshire,Bramburghism,capital,1105,1006.12,373.14,27.26,19.33,64,14°C,Washington (D.C.),capital,port,citadel,walls,,,shanty town,{t1:or;ordinaries:[{ordinary:cross;t:azure;line:straight}];charges:[{charge:bridge2;t:or;p:behdf;size:0.3}];shield:wedged},https://watabou.github.io/city-generator/?name=Altbuse&population=1105&size=14&seed=2563131000007&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=1&shantytown=1&style=natural&sea=0.33
8,Otlingen,Pfafringen,Pfafringen County,Tutachinia,Duchy of Tutachinia,Shwazen,Shwazen Religion,capital,14671,388.24,381.38,26.87,-10.23,225,13°C,Milan (Italy),capital,,citadel,walls,plaza,temple,shanty town,{t1:bendySinister-sable-or-small;charges:[{charge:lambPassantReguardant;t:argent;p:e;t2:argent;size:1.5}];shield:swiss},https://watabou.github.io/city-generator/?name=Otlingen&population=14671&size=36&seed=2563131000008&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=0&plaza=1&greens=1&temple=1&walls=1&shantytown=1&style=natural
9,Selstadt,Selstadt,Selstadt Parish,Fischrenia,Bishopric of Fischrenia,Shwazen,Shwazen Religion,capital,1203,277.39,404.71,25.75,-15.53,64,15°C,Rome (Italy),capital,port,citadel,walls,plaza,temple,shanty town,{t1:purpure;ordinaries:[{ordinary:chevron;t:argent}];shield:swiss},https://watabou.github.io/city-generator/?name=Selstadt&population=1203&size=14&seed=2563131000009&river=0&coast=1&farms=0&citadel=1&urban_castle=0&hub=1&plaza=1&greens=1&temple=1&walls=1&shantytown=1&style=natural&sea=1.98
10,Turanva,Kurania,Kurania Parish,Turanmaa,Turanmaan Theocracy,Soumi,Turanv Religion,capital,402,352.78,292.78,31.1,-11.92,256,10°C,London (England),capital,,citadel,walls,,,,{t1:argent;ordinaries:[{ordinary:bendSinister;t:azure;line:straight}];charges:[{charge:boat2;t:argent;p:lem;size:0.5}];shield:pavise},https://watabou.github.io/city-generator/?name=Turanva&population=402&size=9&seed=2563131000010&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
