Id,Route,Group,Length
627,Aniyoltakean route,searoutes,3203 km
721,Poyers water way,searoutes,2814 km
739,Colleranan water way,searoutes,2469 km
729,Ebon route,searoutes,1612 km
751,Wabingan route,searoutes,1495 km
15,Combrecheb way,roads,1459 km
603,Enchanted route,searoutes,1107 km
1,Paved road,roads,1050 km
655,Whirlwind route,searoutes,1024 km
642,Eldritch passage,searoutes,913 km
786,New route,searoutes,864 km
807,Villepieds route,searoutes,744 km
602,Shadow lane,searoutes,693 km
11,Gilded route,roads,651 km
470,Grieillean track,trails,645 km
162,Great trail,trails,632 km
737,Sapphire lane,searoutes,581 km
6,Enchanted route,roads,564 km
596,Kumtelian route,searoutes,548 km
637,The Frosty Crystal route,searoutes,547 km
643,Noblian route,searoutes,526 km
646,The Silent Scarlet route,searoutes,514 km
609,The Misty Rain lane,searoutes,507 km
88,Angenese trail,trails,501 km
2,Imperial route,roads,463 km
777,Cellerian route,searoutes,463 km
30,Ripelan highway,roads,463 km
105,Aslankan path,trails,461 km
0,Aberctan road,roads,461 km
27,The Silent Sapphire way,roads,447 km
816,Scarlet route,searoutes,447 km
420,The Breezy Castelletran path,trails,434 km
718,Selstadt route,searoutes,434 km
647,Sapphire passage,searoutes,431 km
20,Silvered highway,roads,427 km
58,Uzunkayruk pass,trails,405 km
148,Grambedondan trail,trails,394 km
707,The Rustic Molten route,searoutes,386 km
586,Kaman lane,searoutes,383 km
354,Vantignelly trail,trails,375 km
23,Scarlet road,roads,375 km
656,Infart route,searoutes,374 km
641,Infernal route,searoutes,368 km
33,Forskimattan path,trails,367 km
359,Nikkulan trail,trails,362 km
26,Twisted road,roads,360 km
715,Sertean route,searoutes,359 km
675,Molten passage,searoutes,359 km
640,Fading route,searoutes,340 km
264,Aslan trail,trails,340 km
24,Turanvan road,roads,331 km
504,Canagnicelvian trail,trails,318 km
679,Aberctan route,searoutes,318 km
750,Sapphire lane,searoutes,316 km
674,Infernal route,searoutes,311 km
600,The Echoing Raven route,searoutes,304 km
669,Babeyvar lane,searoutes,303 km
745,Dragon route,searoutes,300 km
386,The Serpentine Laninorocch trail,trails,299 km
827,Enigma passage,searoutes,299 km
693,Solar passage,searoutes,292 km
582,Inverleigh route,searoutes,290 km
588,Divan route,searoutes,279 km
601,Moon route,searoutes,273 km
4,Solar route,roads,269 km
716,Sylvan lane,searoutes,266 km
590,Silvered lane,searoutes,260 km
91,Vogoshichian track,trails,259 km
798,Molten route,searoutes,258 km
254,Muuman track,trails,256 km
134,The Serpentine Mhearigledduan track,trails,254 km
591,New route,searoutes,254 km
698,Spectral lane,searoutes,252 km
747,Twisted passage,searoutes,251 km
766,Glowing route,searoutes,249 km
93,Anabercych trail,trails,246 km
628,Moon passage,searoutes,242 km
625,Bokuan route,searoutes,239 km
9,Copper road,roads,235 km
687,The Shrouded Frozen route,searoutes,234 km
608,Amber lane,searoutes,232 km
614,Apazobasayan lane,searoutes,230 km
522,Alpsean trail,trails,230 km
241,Modfordbury trail,trails,229 km
21,The Misty Phoenix road,roads,226 km
772,Sapphire lane,searoutes,223 km
606,Innisaber water way,searoutes,223 km
697,Crimson route,searoutes,222 km
740,Broccianian lane,searoutes,217 km
353,Bellorinician path,trails,217 km
585,Echo passage,searoutes,217 km
89,Echo trail,trails,216 km
419,Margan path,trails,215 km
435,Sannessas track,trails,214 km
771,Orgisan water way,searoutes,213 km
540,Dawn trail,trails,210 km
325,Imperial pass,trails,209 km
14,Nightshade road,roads,208 km
743,Military lane,searoutes,207 km
665,Treabert lane,searoutes,207 km
229,Thegaician trail,trails,206 km
383,The Rustic Charvillenest pass,trails,204 km
401,Vilianan trail,trails,204 km
197,Aberfraw trail,trails,202 km
29,Tranquil route,roads,202 km
574,Echo path,trails,199 km
618,Suranian water way,searoutes,198 km
661,Otillian water way,searoutes,193 km
81,Anabercych pass,trails,191 km
683,The Cobbled Radiant water way,searoutes,190 km
167,Ormsford trail,trails,189 km
722,Siljan lane,searoutes,185 km
380,Kumdeselian trail,trails,182 km
748,Raufarfian route,searoutes,181 km
782,Titan route,searoutes,181 km
685,The Shrouded Copper route,searoutes,179 km
282,Shifton path,trails,179 km
554,Anovadabean trail,trails,178 km
632,Yuzunsepean route,searoutes,178 km
659,Iron route,searoutes,177 km
701,The Echoing Sun route,searoutes,174 km
388,Alpserelian pass,trails,173 km
495,Apazobasayan trail,trails,172 km
278,Altelian path,trails,172 km
583,Golden route,searoutes,171 km
166,Ekinese trail,trails,170 km
712,The Shrouded King route,searoutes,168 km
351,Choux trail,trails,167 km
415,Skroyan path,trails,166 km
345,Schopenbach trail,trails,166 km
667,Platinum route,searoutes,165 km
259,Tetonese trail,trails,164 km
621,Aurora water way,searoutes,164 km
720,Solar lane,searoutes,164 km
406,Louvillemur trail,trails,162 km
18,Lunar road,roads,159 km
421,Edian trail,trails,159 km
180,Trearonese trail,trails,159 km
649,Titan route,searoutes,158 km
502,Messian trail,trails,157 km
761,Flame lane,searoutes,157 km
733,The Great Copper passage,searoutes,155 km
834,Astral route,searoutes,154 km
292,Ancient trail,trails,154 km
382,Noyerstouilese path,trails,152 km
566,Adasiler trail,trails,150 km
19,Wraith way,roads,150 km
797,The Fabled Enigma route,searoutes,147 km
477,Sarprakluan pass,trails,147 km
468,Ponticivan pass,trails,145 km
118,Yalkatean path,trails,145 km
552,Sarprakdian trail,trails,144 km
352,Grotroneran pass,trails,143 km
434,Schoman trail,trails,142 km
